FipsSVI,Index,ValueCDC,Delta,MedianHouseholdIncome,ScoreCES,Score_SVI,ScaledIndex,ScaledCDC,ScaledCES,ScaledSVI
6001400100,6.5892943,7.9,1.3107057,203199,3.970573329,2.5062,2.807312233,3.376068376,0.415633478,0.706161367
6001400200,6.821698033,7,0.178301967,144293,1.810257388,3.8447,2.912342775,2.991452991,0.056103891,2.001839214
6001400300,9.84977225,7.7,2.14977225,86141,12.04113487,5.4391,4.280824563,3.290598291,1.758772969,3.545230144
6001400400,9.61863261,7.2,2.41863261,115205,10.91263375,5.0022,4.176365304,3.076923077,1.570962689,3.12230773
6001400500,9.552612257,8.2,1.352612257,83447,18.54944122,3.8933,4.146528635,3.504273504,2.841914861,2.048884372
6001400600,9.166259179,8.8,0.366259179,62838,18.27974311,5.5718,3.971923551,3.760683761,2.797030476,3.67368472
6001400700,13.23068448,12.2,1.030684476,49194,35.8665738,8.1625,5.808764923,5.213675214,5.723910684,6.181501379
6001400800,10.87870872,9.3,1.578708718,73177,34.18896917,6.7033,4.74583325,3.974358974,5.444716106,4.768985044
6001400900,11.60451596,11.1,0.504515963,74825,34.01828563,5.9685,5.073848327,4.743589744,5.416310175,4.057693238
6001401000,14.76538787,12.4,2.365387867,55134,41.80859335,7.3086,6.502345559,5.299145299,6.712808555,5.354919897
6001401100,9.982287628,8.1,1.882287628,60078,29.49998106,5.7001,4.340712422,3.461538462,4.664353416,3.797880064
6001401200,9.155658251,8.3,0.855658251,86758,18.03418193,5.2203,3.967132659,3.547008547,2.75616307,3.333430134
6001401300,13.68418434,14.4,0.715815661,43965,36.69231519,9.2021,6.013715746,6.153846154,5.861334315,7.187841828
6001401400,18.164231,16.4,1.764231,33050,46.92278413,9.8314,8.038389458,7.008547009,7.563935403,7.797008857
6001401500,13.76112434,12.5,1.261124337,53859,44.67875512,7.8758,6.048487346,5.341880342,7.190473906,5.90397367
6001401600,15.01806392,12.3,2.718063917,52950,41.3505194,9.3994,6.616537797,5.256410256,6.636573808,7.378829679
6001401700,12.14498613,10.7,1.444986125,85000,46.22548667,7.5616,5.318103759,4.572649573,7.447887993,5.599825759
6001401800,15.57071591,14.7,0.870715912,42769,47.53780186,9.2769,6.866298581,6.282051282,7.666289446,7.260248778
6001402200,14.54363141,13.9,0.643631413,47556,49.4552729,9.9938,6.402126856,5.94017094,7.985403681,7.954213252
6001402400,13.80113768,14.3,0.49886232,31176,42.76537909,9.4894,6.066570632,6.111111111,6.872041182,7.465950341
6001402500,18.50212377,17.7,0.802123768,32808,43.96014918,10.3695,8.191093806,7.564102564,7.070880244,8.317893616
6001402600,16.61892091,17.7,1.081079093,30891,34.99603986,9.5447,7.34001532,7.564102564,5.579032473,7.519481148
6001402700,14.84962583,14.9,0.050374166,56633,40.22520854,7.2268,6.54041534,6.367521368,6.449294465,5.275736896
6001402800,16.58718343,16.2,0.387183426,26674,38.17420734,9.4968,7.325672157,6.923076923,6.107957534,7.473113596
6001402900,13.00771153,12.4,0.607711528,26607,26.6468131,9.0794,5.707996448,5.299145299,4.189516251,7.069067325
6001403000,18.74463863,19.1,0.355361371,24515,46.63411961,11.0067,8.300693884,8.162393162,7.515894542,8.934707904
6001403100,14.33973208,11.6,2.739732083,66587,34.08809675,9.0808,6.309978349,4.957264957,5.42792846,7.070422535
6001403300,15.14656227,10.9,4.246562274,75907,44.36568798,9.4717,6.674610238,4.658119658,7.138371853,7.448816611
6001403400,11.14775213,9.2,1.947752134,50808,29.99281516,7.7109,4.867422416,3.931623932,4.746373105,5.744349257
6001403501,14.46161234,11.7,2.761612335,44727,24.96346898,8.1857,6.36505986,5,3.90936648,6.20395915
